                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2791,                 4.8898,                 1.4872,                0.93312,                   0.25,                0.47558,                0.42662,                0.83819,                 3.6634,                 1.1813,                 0.0811,                 0.0021,                 0.0021
                      1,                0.91817,                 2.5502,                 1.1997,                 0.7265,                  0.625,                0.69619,                 0.5634,                0.55018,                 2.0501,                  1.049,               0.061257,              0.0042574,              0.0042574
                      2,                0.81722,                 1.8158,                 1.1233,                0.71968,                  0.875,                0.94143,                0.82547,                0.59101,                 2.2116,                 1.0476,               0.041371,              0.0063713,              0.0063713
                      3,                0.73935,                 1.8297,                 1.0276,                 0.9885,                0.81513,                0.87273,                0.79089,                0.59623,                 1.2884,                 1.0038,               0.021442,              0.0084416,              0.0084416
                      4,                0.83933,                 3.0705,                 1.0913,                0.83333,                    0.5,                0.68211,                 0.5684,                0.73141,                 7.0431,                  1.039,               0.009604,               0.009604,               0.009604
                      5,                0.74419,                 2.9782,                 1.0187,                0.87277,                0.74799,                0.74739,                0.64078,                0.70371,                 1.9045,                 1.0285,               0.009604,               0.009604,               0.009604
                      6,                0.87807,                 1.5662,                 1.1128,                0.66918,                  0.625,                0.76263,                0.63054,                0.71998,                 2.7809,                 1.0409,               0.009505,               0.009505,               0.009505
                      7,                0.87974,                 1.7824,                 1.0546,                0.75576,                0.94361,                0.88786,                0.77183,                0.69539,                 1.5348,                 1.0312,               0.009406,               0.009406,               0.009406
                      8,                0.77881,                  2.104,                 1.0311,                0.92896,                      1,                  0.995,                0.74515,                0.89448,                0.80413,                 1.1371,               0.009307,               0.009307,               0.009307
                      9,                0.86031,                 1.1913,                 1.0787,                0.75967,                0.81751,                   0.92,                0.77156,                0.75715,                 1.1096,                 1.0754,               0.009208,               0.009208,               0.009208
                     10,                0.88284,                 1.8713,                 1.0756,                0.77208,                      1,                0.91018,                0.76523,                0.76795,                 3.3739,                0.99597,               0.009109,               0.009109,               0.009109
                     11,                 0.8876,                 1.3296,                 1.0685,                0.88539,                0.77095,                  0.995,                0.78385,                0.71233,                 1.6959,                0.90301,                0.00901,                0.00901,                0.00901
                     12,                0.86471,                 1.2497,                   1.01,                0.83409,                0.97746,                  0.995,                0.71591,                 1.0274,                0.93356,                 1.0102,               0.008911,               0.008911,               0.008911
                     13,                0.85304,                 1.0669,                0.99777,                0.95232,                0.98065,                  0.995,                0.78255,                0.85158,                  0.675,                0.94812,               0.008812,               0.008812,               0.008812
                     14,                 0.9252,                0.95686,                  1.068,                0.85373,                0.86156,                   0.97,                0.65313,                 1.2501,                 1.0205,                 1.2505,               0.008713,               0.008713,               0.008713
                     15,                0.84372,                 1.3163,                 1.0499,                0.96997,                      1,                  0.995,                0.70897,                0.91177,                 1.3859,                 1.1333,               0.008614,               0.008614,               0.008614
                     16,                0.91313,                 1.2907,                 1.0235,                0.97001,                  0.875,                   0.97,                0.77059,                0.83636,                0.54289,                0.92278,               0.008515,               0.008515,               0.008515
                     17,                0.82834,                0.74977,                 1.0032,                0.89802,                0.98852,                  0.995,                0.68774,                 1.2447,                0.59049,                 1.1823,               0.008416,               0.008416,               0.008416
                     18,                0.91433,                0.77339,                 1.0638,                0.97501,                      1,                  0.995,                0.66866,                 1.0584,                0.52773,                 1.0382,               0.008317,               0.008317,               0.008317
                     19,                0.91851,                0.97643,                0.99054,                0.96445,                      1,                  0.995,                0.77205,                0.93571,                0.65488,                0.94074,               0.008218,               0.008218,               0.008218
                     20,                0.87997,                 1.0646,                 1.0199,                0.80536,                0.85803,                0.95333,                0.77282,                0.93179,                 0.8959,                0.94225,               0.008119,               0.008119,               0.008119
                     21,                0.87391,                0.91832,                 1.0482,                0.75942,                0.97259,                  0.995,                0.79916,                 0.8815,                0.69824,                 0.9377,                0.00802,                0.00802,                0.00802
                     22,                0.87033,                0.87352,                 1.0052,                0.73267,                      1,                   0.97,                0.82704,                0.78928,                0.85043,                0.91325,               0.007921,               0.007921,               0.007921
                     23,                0.83517,                 0.7802,                0.99249,                0.91884,                0.96616,                  0.995,                 0.7994,                0.88733,                0.79854,                 1.0019,               0.007822,               0.007822,               0.007822
                     24,                0.84411,                0.68316,                 1.0843,                0.82742,                      1,                  0.995,                0.83989,                0.77216,                0.69799,                 1.0021,               0.007723,               0.007723,               0.007723
                     25,                0.88098,                0.78483,                 1.0775,                0.92507,                0.98406,                  0.995,                0.79114,                 0.8103,                0.52231,                 1.0806,               0.007624,               0.007624,               0.007624
                     26,                0.83392,                 0.7322,                 1.0218,                0.95705,                      1,                  0.995,                0.84655,                0.73126,                0.61295,                 1.0118,               0.007525,               0.007525,               0.007525
                     27,                0.76126,                0.65516,                0.93698,                0.97428,                      1,                  0.995,                0.80632,                0.85113,                0.49978,                  1.128,               0.007426,               0.007426,               0.007426
                     28,                0.83854,                0.68546,                 1.0814,                0.97649,                      1,                  0.995,                0.85523,                0.77533,                0.57519,                 1.0402,               0.007327,               0.007327,               0.007327
                     29,                0.84834,                0.72652,                 1.0296,                0.87334,                      1,                  0.995,                0.85257,                0.67117,                0.54548,                 0.9917,               0.007228,               0.007228,               0.007228
                     30,                0.88577,                0.67703,                 1.0319,                0.96969,                      1,                  0.995,                0.87079,                0.70959,                0.57727,                 1.0169,               0.007129,               0.007129,               0.007129
                     31,                0.78936,                0.71896,                 1.0266,                0.92807,                 0.9903,                  0.995,                 0.8289,                0.78647,                0.48615,                 1.0159,                0.00703,                0.00703,                0.00703
                     32,                0.84625,                0.98479,                 1.0545,                0.95941,                0.99978,                  0.995,                0.80302,                0.70338,                0.47489,                0.96665,               0.006931,               0.006931,               0.006931
                     33,                 0.7614,                0.63132,                   1.02,                0.97253,                      1,                  0.995,                 0.7632,                0.82427,                0.59037,                 1.0578,               0.006832,               0.006832,               0.006832
                     34,                0.81182,                0.60648,                 1.0325,                0.97356,                      1,                  0.995,                0.78106,                0.75591,                0.47298,                 1.0082,               0.006733,               0.006733,               0.006733
                     35,                0.74642,                0.56453,                0.98203,                0.98242,                      1,                  0.995,                0.82747,                0.75389,                0.46209,                0.99354,               0.006634,               0.006634,               0.006634
                     36,                0.90868,                0.67077,                   1.08,                0.98286,                      1,                  0.995,                0.81651,                0.77826,                0.41319,                 1.0245,               0.006535,               0.006535,               0.006535
